candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Steve Reilly,5,58,1,0,4,Lost,None,None,-12.73,4.1999998,0,1,1,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,3
Dave Cooper,5,59,1,0,4,Lost,None,None,-60.810001,47.27,0,1,1,0,0,0,0,0,2,2,2,2,2,2,0,2,2,1,2,2,2,1,2
Josh McCall,5,59,1,0,4,Advanced,None,On the Ballot,-60.810001,52.73,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,0,2,2,2,1,2
Andy McGuire,6,7,0,0,7,Lost,None,None,-8.1400003,5.25,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
Cathy Glasson,6,7,0,0,7,Lost,None,None,-8.1400003,20.549999,0,1,0,0,0,0,1,0,2,2,1,2,2,2,1,2,1,2,1,2,2,4,1
Fred Hubbell,6,7,0,0,7,Advanced,None,On the Ballot,-8.1400003,55.41,1,1,0,0,0,1,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
John Norris,6,7,0,0,7,Lost,None,None,-8.1400003,11.44,0,1,0,0,0,0,0,1,2,2,0,2,2,2,0,2,0,2,0,2,2,1,4
Nate Boulton,6,7,0,0,7,Lost,None,None,-8.1400003,4.9699998,0,1,0,0,1,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
Ross Wilburn,6,7,0,0,7,Lost,None,None,-8.1400003,2.1700001,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,0,5
Abby Finkenauer,6,77,1,0,7,Advanced,None,On the Ballot,-1.73,66.800003,1,1,0,0,1,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1
