candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Mai Khanh Tran,DocTran2018,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.69,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sam Jammal,samjammal,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.98,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,,True,2,28,42,2,38,3,12,32,15,0,48,3,3,5,6,1,133,949,273,189,487,2.4510010537407796
Suzi Park Leggett,,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,3.24,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,0,0,0,
Jessica Morse,Morse4America,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-18.16,49.099998,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,,True,2,27,46,0,7,3,17,35,12,0,35,2,2,2,5,5,10,1006,187,140,679,2.978131212723658
Regina Bateson,regina_bateson,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,30.07,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,,True,1,8,39,3,12,0,18,22,4,0,31,1,1,1,3,4,39,734,89,109,536,3.217983651226158
Robert Lawton,,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,5.25,No,White,No,No,No,No,No,No,,,No,,,,No,No,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,
Roza Calderon,rozacalderon,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,15.57,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,,True,3,11,24,2,33,7,12,13,3,1,3,3,3,3,3,3,63,682,149,157,376,2.665689149560117
Julia Peacock,peacock4ca42,,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-15.31,76.019997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,True,2,186,61,10,40,3,91,52,16,2,19,13,13,17,24,18,104,2922,670,651,1601,2.6372347707049966
Norman Quintero,Normanquintero,,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,-15.31,23.98,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,True,0,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,7,182,17,64,101,2.923076923076923
Brian Forde,BrianForde,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,13.06,No,White,No,No,No,No,Yes,Yes,No,No,Yes,,No,,No,,No,,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dave Min,DaveMinCA,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,38.740002,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,No,,No,,,,,True,1,64,39,4,22,25,23,16,86,3,24,5,5,11,5,6,282,1186,497,230,459,1.9359190556492412
Katie Porter,katieporteroc,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.4299999,44.040001,Yes,White,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,True,6,92,136,7,24,19,13,25,59,1,32,5,5,20,11,8,268,1373,395,274,704,2.450109249817917
Kia Hamadanchy,KiaHamadanchy,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,4.1500001000000015,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,Yes,,No,,,,,True,2,24,18,1,17,4,7,3,11,0,12,4,4,5,0,1,92,517,160,125,232,2.2785299806576402
Deanie Schaarsmith,,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,1.79,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,
